,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
59,13-1141,detailed,"compensation, benefits, and job analysis specialists",87870,72610,67190,Bachelor's degree,Less than 5 years,None,1.351351351351351,6.756756756756757,18.91891891891892,17.56756756756757,22.97297297297297,28.37837837837838,4.054054054054054,47.7,76.0,84.6,11.2,2.2,9.7,9.6,3.0,2.0,1.0,435660.0,1655413803243.2432
60,13-1151,detailed,training and development specialists,318040,67440,62700,Bachelor's degree,Less than 5 years,None,0.8695652173913043,2.608695652173913,19.130434782608692,29.565217391304348,25.217391304347824,17.391304347826086,6.086956521739131,44.0,57.1,82.1,13.2,2.7,14.1,10.8,3.0,2.0,1.0,404640.0,5237192888765.217
61,13-1161,detailed,market research analysts and marketing specialists,690160,73970,65810,Bachelor's degree,None,None,0.91324200913242,12.557077625570775,36.75799086757991,20.319634703196343,18.72146118721461,7.30593607305936,3.65296803652968,36.5,58.6,82.8,6.5,8.1,9.1,22.1,3.0,1.0,1.0,221910.0,56669091174063.93
62,13-1198,detailed,"project management specialists and business operations specialists, all other",1444420,84290,77420,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,5.6,3.0,1.0,1.0,252870.0,23821508576732.746
63,13-2000,minor,financial specialists,2755470,85510,73840,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,5.2,1.0,1.0,1.0,85510.0,42808264782615.73
64,13-2011,detailed,accountants and auditors,1274620,81660,73560,Bachelor's degree,None,None,0.294811320754717,4.245283018867925,27.47641509433962,21.16745283018868,21.16745283018868,18.160377358490567,7.429245283018868,44.0,59.7,77.3,9.5,11.2,10.2,6.9,3.0,1.0,1.0,244980.0,22993928505403.3
65,13-2020,detailed,property appraisers and assessors,55990,65630,58650,Bachelor's degree,None,Long-term on-the-job training,0.0,2.3255813953488373,10.465116279069768,17.441860465116278,24.41860465116279,30.232558139534884,16.27906976744186,52.1,29.7,96.5,2.3,1.2,6.0,4.4,3.0,1.0,6.5,1279785.0,206804403581.3954
66,13-2020,broad,property appraisers and assessors,55990,65630,58650,Bachelor's degree,None,Long-term on-the-job training,0.0,2.3255813953488373,10.465116279069768,17.441860465116278,24.41860465116279,30.232558139534884,16.27906976744186,52.1,29.7,96.5,2.3,1.2,6.0,4.4,3.0,1.0,6.5,1279785.0,206804403581.3954
67,13-2031,detailed,budget analysts,49260,82690,78970,Bachelor's degree,None,None,0.0,0.0,25.0,15.0,28.33333333333333,28.33333333333333,1.6666666666666667,48.3,53.2,69.6,13.9,7.6,14.9,4.8,3.0,1.0,1.0,248070.0,488797128000.0
68,13-2041,detailed,credit analysts,72090,86170,74970,Bachelor's degree,None,None,0.0,20.0,36.66666666666666,23.33333333333333,16.666666666666668,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,3.0,1.0,1.0,258510.0,-2041675788599.9998
69,13-2052,detailed,personal financial advisors,218050,122490,89330,Bachelor's degree,None,Long-term on-the-job training,0.0,5.447470817120623,26.264591439688715,22.762645914396888,18.8715953307393,18.48249027237354,8.171206225680933,43.7,34.0,78.5,7.9,10.7,8.2,4.6,3.0,1.0,6.5,2388555.0,3896180269669.261
70,13-2053,detailed,insurance underwriters,101790,80390,71790,Bachelor's degree,None,Moderate-term on-the-job training,0.0,2.9411764705882355,20.58823529411765,21.568627450980397,25.49019607843137,24.50980392156863,3.92156862745098,47.2,58.0,78.6,9.3,6.2,11.9,-1.8,3.0,1.0,4.5,1085265.0,-346569801882.35297
71,13-2061,detailed,financial examiners,68210,92730,81430,Bachelor's degree,None,Long-term on-the-job training,0.0,8.0,28.0,28.0,12.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.0,1.0,6.5,1808235.0,4075903010520.0
72,13-2070,broad,credit counselors and loan officers,339470,74490,61640,No formal educational credential,None,None,0.5,7.0,23.5,25.25,23.5,16.5,4.0,42.4,54.4,79.0,13.1,4.7,12.4,2.1,1.0,1.0,1.0,74490.0,1646191531530.0
73,13-2071,detailed,credit counselors,30770,49940,46170,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,9.0,3.0,1.0,4.5,674190.0,483203677419.0858
74,13-2072,detailed,loan officers,308700,76930,63960,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,1.3,3.0,2.0,4.5,2077110.0,1078667022150.7821
75,13-2080,broad,"tax examiners, collectors and preparers, and revenue agents",115750,57000,50580,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,-0.5,1.0,1.0,1.0,57000.0,-115259716444.03839
76,13-2081,detailed,"tax examiners and collectors, and revenue agents",53150,62040,55640,Bachelor's degree,None,Moderate-term on-the-job training,0.0,8.19672131147541,9.836065573770492,24.59016393442623,26.229508196721312,26.229508196721312,6.557377049180328,47.4,57.9,76.6,14.5,5.8,15.9,-3.7,3.0,1.0,4.5,837540.0,-220008587213.11478
77,13-2082,detailed,tax preparers,62600,52710,44300,High school diploma or equivalent,None,Moderate-term on-the-job training,0.0,3.125,14.583333333333334,23.95833333333333,12.5,26.041666666666668,19.791666666666668,50.4,67.6,81.9,13.9,3.9,17.4,1.6,2.0,1.0,4.5,474390.0,93489970000.00002
78,13-2098,detailed,"financial and investment analysts, financial risk specialists, and financial specialists, all other",460250,96630,83660,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,6.4,3.0,1.0,1.0,289890.0,9944831700444.234
